Paycheck,Health savings,Cash back,Interest,Car insurance,Car payment,Gas,Car wash,Car maint,DMV,Internet,Cell phone,TV,Utilities,Groceries,Food,Gift,Donation,Dentist,Dr,Gym,Pharmacy,Mortgage,Home insurance,Home supplies,Home maint,Student loans,Haircut,Shopping,Mircosoft cloud,Apple subscriptions,Netflix,Spotify,Amazon prime,Trade commisions,Entertainment,Travel,Transfer,Refunds,Taxes,Retirement savings
DIR DEP,Employee Contribution,cash auto redemption,MONTHLY INTEREST,INS PREM,VW CREDIT,Gas,SPEEDY WASH,AUTOZONE,DMV JEFF,ATT,Spectrum,youtube tv,Ameren,Schnucks,Dinner,Gift,Donation,Dental group,Internal med,Fitness,Pharmacy,Mortgage,Progressive,Menards,Plumbing,Education,GREAT CLIPS,REI,Microsoft 365,Apple.com/bill,netflix,Spotify,Amazon prime,Adivising fee,Ticket,Flight,AUTOPAY,purchase adjustment,TAX,Contributions
,,cash back redemption,Interest,,,Exxon,,AAA,,,,,,DIERBERGS,TACOS,Birthday,CYSTIC FIBROSIS,,Physicians,Gym,Prescription,,,Lowes,HVAC,,HAIR,nike,MICROSOFT,,,,,,Uber,Hotel,Venmo,,County,
,,,,,,,,DISCOUNT TIRE,,,,,,TRADER JOE,CAFE,present,,,Radiology,,,,,HOME DEPOT,,,,AMAZON,,,,,,,MUSIC PARK,AirBnB,Transfer,,IRS,
,,,,,,,,DOBBS TIRE,,,,,,,Revel Kitchen,,,,,,,,,,,,,,,,,,,,AMC,,AUTOMATIC PAYMENT,,,
,,,,,,,,,,,,,,,Lion s choice,,,,,,,,,,,,,,,,,,,,,,Xfer,,,
,,,,,,,,,,,,,,,Crushed red,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4 HANDS BREWING,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,HI-POINTE,,,,,,,,,,,,,,,,,,,,,,,,,
